case_id,year,paper_code,paper_id,title,problem_types,models,validation_methods,core_problem,data_features,card_path,source_pdf
case-093,2022,A001,1820295,波浪能装置输出功率优化设计,机理建模 | 常微分方程 | 数值积分 | 参数优化,牛顿/刚体动力学 | 四阶Runge-Kutta | 梯形积分 | 遗传算法,数值离散误差分析 | 稳定阶段截取 | 模型检验 | 不同阻尼形式情景对照,从浮子—振子垂荡和纵摇耦合动力学出发，数值求运动状态，并把稳态平均输出功率作为目标搜索直线/旋转阻尼器参数。,连续时间受迫振动系统，状态含位移、速度、角位移和角速度；阻尼既可能为常数也可能是相对速度幂函数，功率需对稳定周期积分。,cases/case-093.md,2022/A001_2022高教社杯全国大学生数学建模竞赛A题论文展示(A001)_[1820295].pdf
case-094,2022,A022,1820293,波浪能装置输出功率最大化模型,机理建模 | 常微分方程 | 稳态解析 | 全局遍历优化,ode45 | 频域稳态解 | 梯形数值积分 | 小量近似,解析与数值功率对照 | 参数全局遍历图 | 波浪激励稳定性分析 | 假设回代,用多自由度线性系统描述波浪能装置，常阻尼时推稳态解析功率，非线性/耦合时用ode45和数值积分，并在小角度近似下联合优化垂荡与纵摇阻尼。,40个波浪周期的连续状态；常阻尼可线性化，速度幂阻尼与纵摇耦合使解析解困难；第三问部分力矩参考点缺失。,cases/case-094.md,2022/A022_2022高教社杯全国大学生数学建模竞赛A题论文展示(A022)_[1820293].pdf
case-095,2022,A171,1820291,基于解析和数值方法的波浪能发电装置最大功率求解,机理建模 | 解析与数值ODE | 阻抗匹配 | 参数优化,拉普拉斯变换 | 四阶Runge-Kutta | 力电比拟 | 梯形积分,常阻尼解析解 | 解析/数值方法分情景 | 稳定十周期平均 | 平动转动结果核验,按阻尼是否恒定选择解析或数值解法，并利用力—电对偶把常阻尼最大功率转成阻抗匹配问题，再扩展到垂荡—纵摇耦合的联合功率优化。,常系数非齐次ODE与非常系数一阶系统并存；输出含平动和转动状态，优化变量是常阻尼或速度幂律比例/指数。,cases/case-095.md,2022/A171_2022高教社杯全国大学生数学建模竞赛A题论文展示(A171)_[1820291].pdf
case-096,2022,B030,1820289,无人机遂行编队飞行中的纯方位无源定位,计算几何 | 无源定位 | 迭代调整 | 仿真验证,正弦定理方程 | 六类位置模型 | 遍历算法 | 同心圆分解,仿真坐标样本 | 调整前后位置对照 | 图解核验 | 圆形到锥形的结构复用,仅利用接收无人机观测到的方位角，在发射机编号部分未知时完成定位，并设计圆形及锥形编队的分步位置调整策略。,观测只有角度、缺乏距离，几何方程可能多解；圆形编队有编号/相对位置结构，锥形编队可分解为多个同心圆并含特殊共线点。,cases/case-096.md,2022/B030_2022高教社杯全国大学生数学建模竞赛B题论文展示(B030)_[1820289].pdf
case-097,2022,B035,1820287,基于计算几何与带阈值启发式搜索的无人机无源定位模型,计算几何 | 启发式搜索 | 无源定位 | 鲁棒调整,两圆轨迹求交 | 极坐标三角方程 | 带阈值启发式搜索 | 预设发射顺序,量化定位误差分析 | 搜索轮次与信号架次统计 | 不同编队形状适用性比较,在只有方位信息且发射机身份可能混淆的条件下确定无人机位置，并兼顾圆形编队调整效率与任意编队形状的普适性。,纯角度观测导致轨迹相交多解；极径误差≤15 m、极角误差≤1°等误差界影响可辨识性，三点共线或四点共圆会造成发射机编号歧义。,cases/case-097.md,2022/B035_2022高教社杯全国大学生数学建模竞赛B题论文展示(B035)_[1820287].pdf
case-098,2022,B086,1820285,基于局部最优模型的无人机位置调整策略与仿真定位,几何定位 | 局部优化 | 贪心调整 | 蒙特卡洛仿真,正弦定理定位 | 局部L2最小化 | 三步锥形调整 | 三维平面拟合,两种信号源方案收敛对照 | 平面化指标前后比较 | 正态扰动灵敏性分析 | 10组全局误差试验,建立圆形编队纯方位定位的消歧条件，并在信息不共享的局部约束下调整圆形/锥形编队，比较通信次数、收敛速度与扰动鲁棒性。,每架无人机只能使用局部方位观测，不能共享全局坐标；圆形阵列存在一般/特殊多解，锥形阵列需要三维平面与正三角形结构同时满足。,cases/case-098.md,2022/B086_2022高教社杯全国大学生数学建模竞赛B题论文展示(B086)_[1820285].pdf
case-099,2022,C155,1820281,基于成分数据的古代玻璃制品的成分分析与鉴别,成分数据分析 | 假设检验 | 分类/聚类 | 敏感性分析,中心化对数比变换 | Pearson/Yates卡方检验 | 决策树 | 灰色关联分析,分类精确率/召回率/准确率/F1 | Q型聚类交叉检验 | 随机扰动敏感性 | 风化/未风化分层比较,尊重化学成分定和约束，分析风化与文物属性关系、恢复风化前组成，建立玻璃类型/亚类判别，并比较两类玻璃的成分关联结构。,14项化学成分非负且总和约100%，含无效记录和零值；样本量小，类别、风化状态和纹饰/颜色均为混合型变量。,cases/case-099.md,2022/C155_2022高教社杯全国大学生数学建模竞赛C题论文展示(C155)_[1820281].pdf
case-100,2022,C229,1820279,基于成分数据分析的玻璃制品分析与分类,成分数据分析 | 回归预测 | 监督分类 | 聚类/相关检验,乘法零值替换 | Dirichlet回归 | PLS-DA | Wilcoxon配对检验,决策树与PLS结论一致性 | PLS交叉验证选成分数 | 两类关联结构配对检验 | 多种缺失填补,在零值、缺失和总和不精确的古玻璃成分数据上，使用单纯形几何描述风化变化、预测风化前组成，并以决策树/PLS完成类型和亚类识别。,表单1含分类缺失，成分表有空白、0值和总和偏离100%；响应是多维比例向量，样本数远小于成分变量组合。,cases/case-100.md,2022/C229_2022高教社杯全国大学生数学建模竞赛C题论文展示(C229)_[1820279].pdf
case-101,2022,D999,1820275,气象报文信息卫星通信传输,组合构造 | 通信调度 | 概率期望 | 公式证明,最大信息率传输模型 | 对称调度 | 可靠性冗余 | 期望值计算,上下界与构造匹配证明 | 不同N/K分类讨论 | C++枚举/期望复算 | 具体传输方案展示,在单次卫星通信可携带有限条报文且副站传输成功率为80%的约束下，求全网共享所需最少传输轮次或固定轮次下最多站点数，并构造达到界的对称调度。,主站间需互换$N(N-1)$条信息；单次载荷有分数化容量，首轮能力不同；副站链路随机成功且需冗余传输保证至少一次成功。,cases/case-101.md,2022/D999_2022高教社杯全国大学生数学建模竞赛D题论文展示(D999)_[1820275].pdf
case-102,2022,E014,1820273,基于时间序列预测的物料生产安排模型,时间序列预测 | 库存控制 | 服务水平优化 | 情景分析,三次指数平滑 | 滚动一步预测 | 强化参数法 | 联合库存调整,第101–177周滚动回测 | 服务水平门槛检验 | 库存压缩前后对照 | 交付提前期延长情景,从284种物料中筛出具有水平/上升/下降趋势的重点物料，以滚动预测驱动生产，并在平均服务水平不低于85%与库存成本之间寻找可操作平衡。,需求间歇且趋势异质，先按周聚合；只有6种代表物料进入精细建模，预测误差通过库存、缺货和服务水平递推放大。,cases/case-102.md,2022/E014_2022高教社杯全国大学生数学建模竞赛E题论文展示(E014)_[1820273].pdf
case-103,2022,E029,1820271,基于时间序列预测的动态生产优化模型,聚类筛选 | 时间序列预测 | 库存优化 | 多指标权衡,K-means | 加权移动平均/指数平滑/ARIMA | 安全库存 | 曲线拐点权衡,三预测模型平均相对误差对照 | 第101–177周滚动检验 | 服务水平约束 | 安全库存敏感性曲线,从多品种小批量需求中选择代表物料，比较三类时间序列模型后以ARIMA驱动生产计划，再调安全库存权重/绝对量平衡服务水平、库存与资金占用。,284种物料需求频数、总量、单价和销售额差异大，周需求不稳定；决策评价同时含缺货服务水平、库存件数与资金占用。,cases/case-103.md,2022/E029_2022高教社杯全国大学生数学建模竞赛E题论文展示(E029)_[1820271].pdf
case-115,2023,,1865112,基于机理分析法的定日镜场优化设计模型,优化 | 光学机理 | 仿真,蒙特卡洛 | 空间向量光学模型 | 镜面栅格化 | 三分查找,模型检验（摘要未说明细节）,用向量光学和镜面栅格计算遮挡、余弦与截断效率；统一规格时以三分查找优化镜场参数，规格可变时以蒙特卡洛搜索各排安装高度。,"证据方式为 ocr_sampled，论文 45 页；摘要可确认：阴影遮挡与集热器截断过程，利用空间向量方法判断光线入射、反射过 程中是否被其他定日镜阻挡，计算镜面各点反射锥形光线在集热器表面形成的光斑面 积，从而计算阴影遮挡效率、集热器截断效率。 为降低庞大的解空 间维度，固定其他变量，对镜面宽、高等变量单独分析，基于三分查找算法搜索变量的 较优解，得到近似最优情形下，吸收塔的平面位置坐标为(0,-237.0240)，定日镜宽、高 均为5.4670m，安装高度均为6m，定日镜数量为3249，镜场光学效率、余弦效率、阴影 遮挡效率、截断效率、输出热功率、单位面积镜面输出热功率的年平均值分别为0.5787， 0.8614, 0.8546, 0.8811, 43.73MW, 0.4505kW/m2。 对于各定日镜尺寸…",cases/case-115.md,2023/2023高教社杯全国大学生数学建模竞赛A题论文展示(A0165)_[1865112].pdf
case-116,2023,,1865114,定日镜场的优化设计模型,优化 | 仿真,蒙特卡洛,敏感性分析,定日镜场能将太阳光反射汇聚到安装在镜场中的吸收塔集热器上，实现能量转换， 不同的定日镜场参数会影响定日镜场的效率。本文通过光线反射、入射等模型，计算 给定参数下的定日镜场效率，并建立定日镜场的效率优化模型，研究定日镜场参数变 化对单位镜面面积平均输出热功率的影响。 从数学结构看，任务包含 优化、仿真；具体输出、阈值与指标以原题和全文为准。,证据方式为 ocr_sampled，论文 39 页；摘要可确认：首先，建立镜场大地坐标系、 镜面坐标系和光锥束坐标系，描述定日镜场的参数。 通过坐标变换和方程联立，判断某入射光线及对应的反射光线是否造 成阴影遮挡损失所涉及的塔身阴影损失、入射镜面遮挡损失、反射镜面遮挡损失，再 判断成功反射出的光线是否被集热器接收。 决策变量包括吸收塔的位置坐标、定日镜的 尺寸（相同）、安装高度、数量和位置。 以单位镜面面积年平均输出热功率为目标函数，以吸收 塔位置坐标、定日镜尺寸、安装高度、定日镜数目、定日镜位置为决策变量，以额定 功率、相邻定日镜距离、圆形区域半径等为约束条件，建立优化模型。,cases/case-116.md,2023/2023高教社杯全国大学生数学建模竞赛A题论文展示(A0175)_[1865114].pdf
case-114,2023,,1865106,定日镜场的输出功率优化,优化,遍历搜索 | 变步长搜索 | 二分法,原文独立验证手段未在证据包中稳定识别,定日镜场优化方案的设计是提高光热发电效率和推动绿色中国建设的关键。本文 从优化角度出发，建立了定日镜平均输出热功率优化模型，并通过遍历法等方法进行求 解，为新能源部门提供了不同建设需求下定日饶场参数的具体规划方案。 从数学结构看，任务包含 优化；具体输出、阈值与指标以原题和全文为准。,"证据方式为 ocr_sampled，论文 58 页；摘要可确认：针对问题一，首先，分别对定日镜镜场和定日镜镜面建立了镜场坐标系和镜面坐标 系，并通过坐标转换阵T实现坐标系之间的转化。 在给定 Wa、Wb、h0、hi和L0的前提下，唯一确定定日镜场中定日镜的总数和各定日镜的坐标。 吸收塔的位置坐标为(0,-79)； 吸收塔的位置坐标为(0,-79)；",cases/case-114.md,2023/2023高教社杯全国大学生数学建模竞赛A题论文展示(A0127)_[1865106].pdf
case-104,2023,A092,1865104,定日镜场的优化设计,优化 | 仿真,蒙特卡洛 | 遗传算法,原文独立验证手段未在证据包中稳定识别,塔式太阳能光热发电是一种较为理想的、技术发展相对成熟的大规模利用太阳能 发电的技术，定日镜是其收集太阳能的重要基本组件，通过数学建模对定日镜场的各 项参数进行优化设计，使得单位镜面面积年平均输出热功率最大具有重大的现实意义， 也是我们亟待解决的问题。 从数学结构看，任务包含 优化、仿真；具体输出、阈值与指标以原题和全文为准。,证据方式为 ocr_sampled，论文 53 页；摘要可确认：最后，结合法向直接辐射照度 以及定日镜场输出热功率的计算公式，代入定日镜的光学效率等数据我们求出了定日 镜场在不同时刻的输出热功率，进而得到年平均输出热功率以及单位面积镜面年平均 输出热功率。 我们以单位 镜面面积的年平均输出热功率最大为目标函数，以定日镜场中吸收塔的位置坐标、定 日镜的统一尺寸和统一安装高度、定日镜的个数以及定日镜的位置等参数作为决策变 量，以定日镜场的年平均额定输出功率、相邻定日镜之间应满足的距离等要求确定了 多个约束条件，建立起单目标优化模型。,cases/case-104.md,2023/A092_2023高教社杯全国大学生数学建模竞赛A题论文展示(A092)_[1865104].pdf
case-105,2023,B226,1865116,多波束测线布设,优化 | 仿真,模拟退火 | 粒子群 | 几何建模 | 最小二乘坡面拟合 | 贪心递推布线,敏感性分析,推导二维及三维坡面上的覆盖宽度与重叠率，在完全覆盖和重叠率约束下最小化测线总长度，并将复杂海底分区拟合后逐区布线。,证据方式为 ocr_sampled，论文 51 页；摘要可确认：针对问题一：首先简要介绍多波束测量仪的工作原理，以海域中心点为坐标原点 建立合适的坐标系。 最后得到特定位置处的指标，存放在result1.xlsx中。 针对问题二：以海域坡面中心为坐标原点建立三维空间坐标系，参考问题一，首 先利用向量分析，根据向量叉乘得到测线方向与其在水平面上的投影组成的平面和海 底坡面的交线的点向式方程，代入相应坐标求得海水深度。 针对问题四：首先利用单波束测量数据确定海域初貌，发现其地形起伏大，难以 求解测线布设。,cases/case-105.md,2023/B226_2023高教社杯全国大学生数学建模竞赛B题论文展示(B226)_[1865116].pdf
case-106,2023,B311,1865118,基于主要目标法的测线设计问题,优化,多目标规划 | 目标规划 | 几何建模 | 递推布线,CAD图形对比 | 测绘规范佐证 | 覆盖率与重叠率检查,从几何关系定义斜坡覆盖宽度和重叠率，递推设计矩形海域测线；复杂海底采用主要目标法，以漏测率最小为主目标、重叠率为约束。,证据方式为 ocr_sampled，论文 34 页；摘要可确认：针对问题1，运用几何分析和正弦定理，求解海水深度D关于测线距中心点 距离x的函数关系式，以及条带覆盖宽度W的函数表达式；得到海水深度 D=D'-xtanα，覆盖宽度 W = (D'−xtanα)sinθcosα cos θ cosα sin sin α 2 2 对于斜坡上重叠率η计算，本文依据两种重叠率定义，分别构建两种重叠率模型。 利用Matlab计算海水深度D、覆盖宽度W和两种不同定义重叠率η四者的结果。 利用CAD作图，直观比较两种重叠率模型的优劣，选择更贴合本题的模型二， 舍去重叠率模型一的结果，明确斜坡重叠率的定义。 针对问题2，根据问题2的具体要求，对问题1的覆盖宽度W模型进行改进 推广，以构建贴合问题2的模型。引入变量，测线在坡面上的…,cases/case-106.md,2023/B311_2023高教社杯全国大学生数学建模竞赛B题论文展示(B311)_[1865118].pdf
case-107,2023,B477,1865120,多波束测深合理探测方案的设计及效果分析,优化 | 几何建模 | 机器学习预处理,随机森林 | 插值拟合 | 贪心布线 | 改进飞蛾火焰算法,不同重叠率方案横向比较 | 覆盖率与总长度复算,由二维覆盖宽度模型推广到任意方向三维坡面；简单海域用贪心布线，复杂海底经插值和随机森林预处理后分区，并以改进飞蛾火焰算法搜索测线。,证据方式为 ocr_sampled，论文 50 页；摘要可确认：对于问题四，本文首先采用微分思想，利用插值拟合和随机森林模型对 数据进行预处理以及数据特点分析，深入探讨了不同曲面以及开角情况下的 测量状态，基于第三问的研究改进了飞蛾火焰算法，并给出具体的路径搜索 流程，在对区域进行分块之后，以重叠率为10%，在空间内迭代搜索了各区 域最佳路径，给出各个分区的数据，经过整合之后，得到了最优化的路线且 覆盖率达99.96%，测线总长度为434662m。 我们首先建立二维平面上的多波束测深的覆盖宽度及条带重叠率的 数学模型，然后扩展至三维空间中，从简单地形测线的设计推进到复杂真实 海底测量策略的优化，解决了多波束测深系统最优路线方案的设计问题，并 且给出具体的图像和精确数据。,cases/case-107.md,2023/B477_2023高教社杯全国大学生数学建模竞赛B题论文展示(B477)_[1865120].pdf
case-108,2023,C050,1865124,某商超蔬菜类商品动态定价与补货决策研究,预测 | 评价 | 优化 | 聚类 | 仿真,K-Means | 灰色关联分析 | 线性回归 | 模拟退火 | Pearson 相关 | Spearman 相关,原文独立验证手段未在证据包中稳定识别,随着生鲜市场规模的持续扩大，蔬菜零售行业的竞争也愈加激烈。为帮助某商超 改善经营模式，本文基于题目所给数据信息，建立数学模型进行分析，从而制定合理 的蔬菜类商品动态定价与补货决策，提高商超收益。 从数学结构看，任务包含 预测、评价、优化、聚类、仿真；具体输出、阈值与指标以原题和全文为准。,证据方式为 ocr_sampled，论文 44 页；摘要可确认：为帮助某商超 改善经营模式，本文基于题目所给数据信息，建立数学模型进行分析，从而制定合理 的蔬菜类商品动态定价与补货决策，提高商超收益。 然后进行数据可视化处理，分析各蔬菜品类、单品蔬菜的销售量分布规律。 第二问引入Spearman 相关系数，以各蔬菜 品类及单品蔬菜的日销售量为指标，进行相关性分析，求解得出除茄类外，其它五种 品类蔬菜之间都呈现出显著的正相关关系。 然后以单品的总销售量、每日最大销售量 和日均销售量为指标，通过K-means++聚类算法将单品划分为热销、畅销、平销和滞 销四大类，进行相关性分析，结果可得热销单品较其他单品呈现出高总销售量，高每 日最大销售量和高日均销售量特点。,cases/case-108.md,2023/C050_2023高教社杯全国大学生数学建模竞赛C题论文展示(C050)_[1865124].pdf
case-109,2023,C126,1865126,商超蔬菜销售数据的统计分析及建模,预测 | 优化 | 相关分析 | 贝叶斯建模,贝叶斯估计 | 正态分布 | MCMC | VAR | Shapiro-Wilk 检验 | 约束收益优化,正态性检验 | 收敛诊断 | VAR预测与频率法一致性检查,针对1084个零膨胀、非正态的日销量样本建立贝叶斯销量与补货模型，再用VAR(2)预测未来一周销量和补货量，并在预测结果上求收益最大化方案。,证据方式为 ocr_sampled，论文 74 页；摘要可确认：根据商超实际购物篮销售数据，将该数据以单品编码为关键字，通过数据透 视形成新的销售数据集，即日销售数据，计1084个样本。 通过对蔬菜日销售量 数据进行相关分析，发现同一品种的蔬菜销量具有较强的相关性，构造直观的评 判矩阵，用含“T”“F”的元素字符串，表示“是”“否”相关。 对销量数据 进行 shapiro-wilks正态性检验，结果表明销量数据不服从正态分布，用传统的回 归分析将导致精度下降，且日销量数据含大量的0，属零膨胀数据，建模较难。 为避开零膨胀数据建模的困难，同时降低 WinBUGS 运行 MCMC的运算压力， 用同期平均法将三年数据进行转化，形成一年的数据，对该数据建立Bayesian 销量模型及补货量模型，进行30000次迭代计算…,cases/case-109.md,2023/C126_2023高教社杯全国大学生数学建模竞赛C题论文展示(C126)_[1865126].pdf
case-110,2023,C228,1865128,基于价格弹性的蔬菜类商品自动定价与补货决策,预测 | 评价 | 优化 | 分类,LSTM | 双对数价格弹性模型 | FP-Growth | VIKOR | GBest-PSO | NSGA-II,MAE | 拟合优度（R²）,从高维交易数据提取销量规律、关联与价格弹性，以LSTM预测成本和销量；品类层用GBest-PSO优化定价补货，单品层用VIKOR预选并以NSGA-II权衡收益与需求。,证据方式为 ocr_sampled，论文 70 页；摘要可确认：首先，基于数据高维、庞杂的特征对其进行整合、分析与清洗。 对多个附件自然连 接(NJ)、对不同变量进行One-hot编码与时间序列处理、将进货销货信息按日/周/月/年 聚合； 对整合完成的数据挖掘更多信息，实现供应时间、同货异源、折扣退货的分析， 并完成蔬菜单品的常年性、季节性、时令性分类。 对于问题一，为更好地分析，本文将问题聚焦为探究销售量的时间分布规律、销售 分布规律以及相关关系，并从多个时间颗粒维度分析总体、类别、个体的综合信息。,cases/case-110.md,2023/C228_2023高教社杯全国大学生数学建模竞赛C题论文展示(C228)_[1865128].pdf
case-111,2023,D039,1865132,圈养湖羊空间利用率的优化问题,优化 | 仿真,整数规划 | 蒙特卡洛 | 遍历搜索,遍历方案对比 | 空间利用率与损失指标复算,在112个羊栏容量约束下安排母羊分批繁殖，使年化出栏量和空间利用率尽量高；加入孕期等随机因素后，以蒙特卡洛期望损失最小选择批次数量。,证据方式为 ocr_sampled，论文 31 页；摘要可确认：湖羊是优秀的养殖品种，湖羊养殖场通常有若干标准羊栏，根据湖羊的性别和生 长阶段分群饲养，不同阶段、性别和大小的羊只对空间要求不同，所以每一羊栏所容纳 的羊只数量由上述因素决定.在实际运营中，空间利用率是相对独立并影响养殖场经 营效益的重要问题.本文主要研究了湖羊养殖过程中空间利用率的问题，给出了具体 生产计划，较好地解决了提出的三个问题. 针对问题1，母羊的工作周期包括交配期、孕期、哺乳期和休整期，一整个周期持 续229天.仅考虑单个批次一定数量的基础母羊以固定周期的方式重复工作，可求出其 (包括羔羊)所占用的羊栏天数，在理想状态下多批次交替工作可以把羊栏使用数的波 动抹平，而出栏羊数正比于基础母羊的数量n，可求出n对应的每一栏能转化为多少年 化出…,cases/case-111.md,2023/D039_2023高教社杯全国大学生数学建模竞赛D题论文展示(D039)_[1865132].pdf
case-112,2023,E032,1865134,基于时间序列分析预测的黄河水沙监测模型,预测 | 优化,SARIMA | 分段多项式回归 | M-K突变检验 | 季节分解 | 小波分析 | 数值积分,数值积分交叉检验 | 2016—2020训练与2021测试 | 拟合度检验,刻画黄河水沙关系的趋势、季节、周期与突变，用SARIMA预测未来两年水沙通量，据预测结果优化采样监测，并从水沙通量和河底高程评价调水调沙效果。,证据方式为 ocr_sampled，论文 53 页；摘要可确认：本文在对各附件 数据进行预处理后，通过回归分析、小波分析、时间序列分析方法建立水沙关系 模型和水沙通量模型，利用时间序列预测模型预测水沙通量的变化趋势，优化水 文站采样监测方案，分析调水调沙效果。 对于问题一，用“均值替补法”补充缺失数据后，分别研究含沙量与时间、水 位、水流量的关系，并进行模型展示。 最后建立年总排沙量、年总水流量模型， 估算了近6年数据，又运用优化的数值积分法对上述模型进行了检验。 日期 2016 2017 2018 2019 2020 2021 年总排沙量(亿吨) 0.182 0.191 2.918 3.051 3.510 2.239 年总水流量(亿m³) 143.809 153.353 388.973 387.239 433…,cases/case-112.md,2023/E032_2023高教社杯全国大学生数学建模竞赛E题论文展示(E032)_[1865134].pdf
case-113,2023,E176,1865138,基于小波变换和背包模型的小浪底水库最优监测方案研究,预测 | 优化,"双对数回归 | 0-1 规划 | 小波分析 | M-K突变检验 | Fisher最优分割 | R/S分析 | 傅里叶级数 | 灰色GM(1,1)",交叉验证,"交叉识别水沙通量的季节、周期与突变，用R/S和傅里叶级数预测未来两年，以背包型0-1规划选择监测时点，并用GM(1,1)外推河底高程。",证据方式为 ocr_sampled，论文 56 页；摘要可确认：首先，对附件1、附件2、附件3的数据进行了整理，使用python软件对大量的缺失数据采用平均值 进行了填补。 针对问题(1)，首先，研究含沙量与时间的关系，得出结论：一是2016、2017年的含沙量较小，但从2018 年开始大幅度增长，含沙量随着年份存在周期性波动。 三是建立了含沙量随时间（日）变化的正弦函数。 针对问题(2)，把数据整理成以“月”为时间点的时间序列，首先，描述性分析得出结论：各月水流量 分化严重，但平均波动幅度较小，排沙量则相反。,cases/case-113.md,2023/E176_2023高教社杯全国大学生数学建模竞赛E题论文展示(E176)_[1865138].pdf
case-117,2024,A016,1977931,基于几何模型的舞龙队位置和速度分析,几何运动建模 | 优化,几何建模 | 碰撞检测 | 逐步逼近 | 变步长搜索,碰撞边界检查 | 结果文件复算,沿等距螺线递推板凳龙各把手的位置和速度，检测首次碰撞，搜索可进入调头空间的最小螺距，并由速度比例确定龙头速度上限。,证据方式为 ocr_sampled，论文 59 页；摘要可确认：针对问题一，首先构建等距螺线方程，用坐标表示把手的位置。 对于位置，结合极 坐标弧长公式，求积分得到运动距离，用逐步逼近法求解极角，先得到各个时刻龙头前 把手的位置； 先用极坐标表示圆弧上关键点的位置，接着将整个调头过程分为四块区域并 划分时间段，对于0s~100s构建区域、夹角、位置三个矩阵，具体分析得到每秒龙头前 把手的情况，结合调整后的问题一的模型推出得到每秒所有把手的位置情况，再分情况 分析计算得到速度结果。,cases/case-117.md,2024/A016_2024高教社杯全国大学生数学建模竞赛A题论文展示(A016)_[1977931].pdf
case-118,2024,A053,1977933,基于目标优化的板凳龙形态调节,优化,粒子群 | 碰撞检测 | 遍历搜索,敏感性分析,针对问题一，我们建立舞龙队的运动状态模型。首先，在极坐标系中用阿基米德 螺旋线方程描述了各把手满足的位置范围。接着，利用螺旋线弧长公式表示出龙头把 手位置随时间变化的关系，并根据板凳间的几何关系，递推出各个时刻下各节龙身以 及龙尾把手的位置，并将各把手的行进弧长的导数来表示速度。然后，对时间进行离 散化处理，求解出龙头在每一个时刻下的位置，并递推出其余把手在… 从数学结构看，任务包含 优化；具体输出、阈值与指标以原题和全文为准。,证据方式为 ocr_sampled，论文 62 页；摘要可确认：首先，在极坐标系中用阿基米德 螺旋线方程描述了各把手满足的位置范围。 接着，利用螺旋线弧长公式表示出龙头把 手位置随时间变化的关系，并根据板凳间的几何关系，递推出各个时刻下各节龙身以 及龙尾把手的位置，并将各把手的行进弧长的导数来表示速度。 然后，对时间进行离 散化处理，求解出龙头在每一个时刻下的位置，并递推出其余把手在对应时刻的位置， 由每一时间步长下的行进弧长计算出各把手的速度，将位置和速度结果存入指定文件。 接着，根据几何关系，表示出各板凳顶点的坐标以划定 边界，便于碰撞检测。,cases/case-118.md,2024/A053_2024高教社杯全国大学生数学建模竞赛A题论文展示(A053)_[1977933].pdf
case-119,2024,A163,1977935,基于几何模型的板凳龙运动路径问题,优化 | 几何运动建模,几何建模 | 数值积分 | 十等分搜索,碰撞边界检查 | 分段递推一致性检查,建立盘入、调头、盘出全路径的位置—速度递推，利用几何碰撞判据和十等分搜索求调头空间边界螺距，再由最大把手速度反推龙头速度上限。,证据方式为 ocr_sampled，论文 45 页；摘要可确认：本文将盘龙过程抽象为数学模 型，在各板凳数据已知的条件下研究不同螺距、不同龙头行进速度时，各时刻下整个舞 龙队的位置和速度，为深入研究如何优化盘龙所需的面积和行进速度提供了有效的帮 助。 本文将盘入螺线转化为极坐标方程，采用积分的方法建立起龙头前把手所处位置 与速度和时间的关系，得到其每个时刻的龙头前把手坐标。 为解决各时刻舞龙队各前 把手速度问题，本文根据得到的位置坐标，建立相邻两把手速度迭代公式。 从而得到了舞 龙队不能再继续盘入的位置，进而计算得不能再继续盘入的时间。,cases/case-119.md,2024/A163_2024高教社杯全国大学生数学建模竞赛A题论文展示(A163)_[1977935].pdf
case-120,2024,A178,1977937,板凳龙行进路径与速度控制优化,优化 | 几何运动建模 | 仿真,微分方程 | 碰撞检测 | 变步长搜索 | 二分法,不同龙头速度数值对照 | 200个时间点规律检查 | 二分误差检查,用微分方程和几何递推计算盘入—调头—盘出的位置速度，变步长/二分搜索碰撞时刻与最小螺距，并验证最大速度位置规律后反求龙头速度上限。,证据方式为 ocr_sampled，论文 48 页；摘要可确认：首先，我们基于螺线的极坐标方程，确定各把手的运动轨迹。 最终，将问题一的参数代入计算，利用 数值方法求解0s~300s每秒的各节龙身位置与速度，并将0s、60s、120s、180s、240s、 300s时，龙头前把手、龙头后面第1、51、101、151、201节龙身前把手和龙尾后把手 的运动数据记录在表（2）与表（3）中。 在模型求解时，我们首先根据同心圆近似碰撞模型计算 出碰撞时间大约为410s，然后在[400，420]秒的时间区间内进行变步长搜索，最终确定 碰撞时间为412.4739s。 我们将该时刻龙身的位置和速度数据保存在文件中，并将龙头、 第1、51、101、151、201节龙身以及龙尾的运动数据记录在表（4）与表（5）中。,cases/case-120.md,2024/A178_2024高教社杯全国大学生数学建模竞赛A题论文展示(A178)_[1977937].pdf
case-121,2024,A242,1977939,基于动态搜索的“板凳龙”运动状态及路线研究,优化 | 几何运动建模,微分方程 | 粒子群 | 碰撞检测 | 变步长搜索 | 二分法 | 三分搜索,粒子群与搜索法对比 | 碰撞阈值检查 | 单峰区间三分复核,递推板凳龙盘入、调头和盘出状态，以动态碰撞搜索求停止时刻，结合粒子群与变步长求最小螺距，并以三分搜索确定速度峰值。,证据方式为 ocr_sampled，论文 58 页；摘要可确认：首先，根据盘入路线为等距螺线的特征，建立极 坐标系。 针对龙头位置，建立有关极角的微分方程，利用微积分及二分法求解龙头前把 手的极坐标，继而利用余弦定理，递推求解相邻板凳的位置关系，获得各把手的位置函 数。 最终，将极坐标转换为直角坐标，求 得各把手在各时刻的位置和速度，结果详见表2，表3和 result1.xlsx。 最后，采用动态搜索策略，先用变步长 搜索确定时间范围，再进行二分搜索，确定首次碰撞的准确时间。,cases/case-121.md,2024/A242_2024高教社杯全国大学生数学建模竞赛A题论文展示(A242)_[1977939].pdf
